Section	Q#	Question ID	Question	Description	Type	Answer Options	Required	Condition (Show If)	Follow-Up	Triggers	Critical	Reviewer Notes	Approved
Sexual Health	9	ed-dangerous-meds	Are you taking any of the following medications?	These medications can cause serious, life-threatening complications when combined with ED treatments.	multi	Nitrates (Nitroglycerin, Isosorbide mononitrate/dinitrate, Nitroprusside) / Sildenafil (Revatio) or any other medication used to treat Pulmonary Hypertension / Alpha-Blockers (Doxazosin, Prazosin, Terazosin, Phentolamine) / HIV medication (protease inhibitors) / Ketoconazole or itraconazole (Nizoral or Sporanox) / Erythromycin or clarithromycin / I don't take any of these medications	Yes				Yes		
Sexual Health	10	ed-recreational-drugs	Do you use any of these recreational drugs?	Certain recreational drugs can cause life-threatening interactions with ED medications.	multi	Marijuana / Cocaine or crack / Amyl Nitrate, butyl nitrite, Poppers, or Rush / Ecstasy (Molly, MDMA) / I do not use any recreational drugs	Yes			If ed-recreational-drugs includes "amyl-nitrate" → DISQUALIFY ed-rapid-dissolve-tablet: "Amyl nitrate/poppers use is a contraindication for ED medications due to dangerous blood pressure interactions."	Yes		
Sexual Health	11	ed-alcohol	How many alcoholic beverages do you consume per week?	Alcohol should be limited while using ED medication due to potential drops in blood pressure.	single	0 / 1–5 / 6–10 / 11+	Yes						
Sexual Health	12	ed-fitness	Can you easily walk up 2 flights of stairs or walk 20 blocks on flat ground?		yes-no	Yes / No	Yes						
Energy & Hormones	1	test-energy	How would you rate your energy level?		scale	Terrible / Poor / Average / Good / Excellent	Yes			If test-energy = "terrible" OR test-energy = "poor" → Suggest enclomiphene: "Your energy responses suggest your provider may want to evaluate your testosterone levels."			
Energy & Hormones	2	test-muscle	How would you rate your muscle strength/endurance?		scale	Terrible / Poor / Average / Good / Excellent	Yes						
Energy & Hormones	3	test-libido	How would you rate your libido (sex drive)?		scale	Terrible / Poor / Average / Good / Excellent	Yes						
Energy & Hormones	4	test-erections	How strong are your erections?		scale	Extremely weak / Weak / Neither weak nor strong / Strong / Extremely strong	Yes			If test-erections = "extremely-weak" OR test-erections = "weak" OR test-erections = "neutral" → Suggest ed-rapid-dissolve-tablet: "Low erection strength combined with ED symptoms may benefit from a combination ED treatment."			
Energy & Hormones	5	test-previous-treatment	Have you been treated for low testosterone in the past or tried any prescription and/or over-the-counter medications for low testosterone?		yes-no	Yes / No	Yes		If test-previous-treatment = "yes" → "Please list all medications and products used."				
Energy & Hormones	6	test-start-or-refill	Are you starting Enclomiphene for the first time, or refilling an existing prescription?		single	Starting for the first time / Refilling (I have been using the medication)	Yes	enclomiphene is in treatment plan					
Energy & Hormones	7	test-recent-labs	Do you have recent lab work within the last 6 months?		yes-no	Yes / No	Yes	enclomiphene is in treatment plan					
Hair Health	1	hair-description	Tell us about your hair loss.	Describe your hair loss — when it started, where you're noticing it, and how it's progressing.	text	(free text)	Yes			If hair-description is answered → Suggest topical-finasteride: "Based on your hair loss concerns, your provider may recommend a topical treatment formula."			
Hair Health	2	hair-scalp-symptoms	Have you noticed any of the following?		multi	Itchy, painful, burning or lesions on the scalp / Dry skin or dandruff / Rash / Bleeding / Sudden hair loss / I do not have any of these	Yes						
Hair Health	3	hair-loss-pattern	What hair loss symptoms have you noticed?		multi	Thinning at the front hairline / Thinning on the top of the head / I have a receding hairline / Diffuse thinning (all over thinning) / Increased shedding / None	Yes						
Hair Health	4	hair-previous-treatment	Have you tried any treatments (medications, procedures, etc.) for your hair loss in the past?		yes-no	Yes / No	Yes						
Hair Health	5	hair-treatments-tried	What treatments have you already tried?		multi	Minoxidil (Rogaine) / Finasteride (Propecia) / Biotin or Biotin-based vitamins / Tretinoin topical treatment / Steroid-based scalp injections / Shampoo-based treatment / Hair Transplant / PRP (Platelet Rich Plasma) / Other	Yes	hair-previous-treatment = "yes"	If hair-treatments-tried includes "other" → "Please describe the other treatments you've tried."				
Hair Health	6	hair-compound-allergies	Do you have any allergies to the following compounds?		multi	Azelaic Acid / Finasteride / Tretinoin / Hydrocortisone / Minoxidil / Triamcinolone / Ketoconazole / Dutasteride / Caffeine / Latanoprost or Bimatoprost / Melatonin / Other / None of these medications	Yes		If hair-compound-allergies includes "other" → "Please list your other allergies."				
Hair Health	7	hair-sexual-dysfunction	Are you currently experiencing any sexual dysfunction?		yes-no	Yes / No	Yes		If hair-sexual-dysfunction = "yes" → "Please describe."	If hair-sexual-dysfunction = "yes" → Suggest ed-rapid-dissolve-tablet: "You mentioned sexual dysfunction — your provider may also want to address this."			
Hair Health	8	hair-5ar-warning	Do you acknowledge the following and wish to proceed?	5-alpha-reductase inhibitors (finasteride/dutasteride) may worsen depression or anxiety. If you have a history of these conditions, discuss with your provider. If you experience thoughts of self-harm, stop the medication immediately and call 911.	yes-no	Yes, I acknowledge and want to proceed / No	Yes			If hair-5ar-warning = "no" → DISQUALIFY __hair__: "Acknowledgment of the 5-alpha-reductase inhibitor warning is required for hair loss treatments."	Yes		
Hair Health	9	hair-medical-conditions	Do you have any of these medical conditions?		multi	Breast Cancer / Liver Problems / Prostate Cancer / HIV / Autoimmune Disease or Rheumatologic disorder / Kidney Disease / Thyroid Disease / Cancer Other than Breast / Prostate Enlargement (BPH) / Other / I do not have any of these medical conditions	Yes		If hair-medical-conditions includes "other" → "Please describe your medical condition."				
Hair Health	10	hair-anything-else	Is there anything else that your doctor may need to know?		yes-no	Yes / No	Yes		If hair-anything-else = "yes" → "Please describe."				
Hair Health	11	hair-minoxidil-warning	Do you acknowledge the following and wish to proceed?	We do not recommend using minoxidil more than 2 times daily. Additionally, if you are using oral dutasteride/finasteride pills with the topical finasteride/dutasteride compounds, you are putting yourself at increased risk for side effects.	yes-no	Yes, I acknowledge and want to proceed / No	Yes			If hair-minoxidil-warning = "no" → DISQUALIFY __hair__: "Acknowledgment of the minoxidil usage warning is required for hair loss treatments."	Yes		
Wellness & Longevity	1	pep-cancer-history	Do you have a current or past history of cancer?		single	Yes, currently undergoing treatment / Yes, history of cancer / No	Yes						
Wellness & Longevity	2	pep-conditions	Do you have any of the following conditions?		multi	Thyroid disease (hypothyroidism or hyperthyroidism) / Glioma / Any current or history of cancer or tumor / Diabetes (Type 1 or Type 2) / Autoimmune disease / Liver disease / Kidney disease / Severe heart disease / None of these	Yes						
Wellness & Longevity	3	pep-medications	Do you take any of the following medications?		multi	Clonidine or levodopa / Insulin or other diabetes medications / Glucocorticoids (such as prednisone, dexamethasone) / Blood-thinning medications / Immunosuppressant medications / Chemotherapy medications / Cox inhibitors (aspirin, advil, celebrex, or similar) / Cardiovascular medications for heart rhythm or blood pressure / None of these	Yes						
Wellness & Longevity	4	pep-symptoms	Are you currently experiencing any of the following symptoms? Select all that apply.		multi	Brain fog / Chronic or general fatigue / Difficulty concentrating or lack of focus / Reduced endurance / Low energy / Low libido / Decreased muscle mass or muscle weakness / Trouble sleeping or poor quality sleep / Unexplained or unwanted weight gain / None of the above	Yes			If pep-symptoms includes "low-libido" AND pep-symptoms includes "low-energy" AND basics-sex = "male" → Suggest enclomiphene: "Your symptoms may be related to testosterone — your provider can evaluate."			
Wellness & Longevity	5	pep-activity	How would you describe your current level of physical activity?		single	Sedentary — Little to no regular physical activity / Lightly active — Occasional physical activity (e.g., walking, light exercise) / Moderately active — Regular exercise but not structured or intense / Active/Athletic — Consistent, structured workouts and an active lifestyle / Highly active/Performance-focused — Competitive athlete or focused on performance optimization	Yes						
Mental Health	1	mh-mood	Do you have concerns about your mood, depression, anxiety, or excessive worrying?		yes-no	Yes / No	Yes		If mh-mood = "yes" → "Please describe your concerns."				
Mental Health	2	mh-interest	In the last 2 weeks, have you lost interest in doing your daily routine?		yes-no	Yes / No	Yes						
Mental Health	3	mh-self-harm	In the last 2 weeks, have you had any thoughts of hurting yourself?		yes-no	Yes / No	Yes			If mh-self-harm = "yes" → FLAG: "Patient reported thoughts of self-harm in the last 2 weeks. Requires immediate provider attention."	Yes		
Review & Submit	1	final-anything-else	Is there anything else you want your provider to know about your condition or health?		yes-no	Yes / No	Yes		If final-anything-else = "yes" → "Please share anything else your provider should know."				
